name	id	family	variation	instrumentalists
Double bass	/m/02fsn	String instrument,Bowed string instruments	Triple contrabass viol,Electric upright bass	Domenico Dragonetti,Manuel Kupahu,Scott LaFaro,Ed Garland,Mads Vinding,Alphonso Johnson,Keter Betts,Ron Mathewson,Hank Williams, Jr.,Slam Stewart,Monty Budwig,Juan Garcia-Herreros,Martin Pizzarelli,Eugene Cruft,Joseph LaBracio,Todd Coolman,Jerry Jemmott,Isham Jones,Oscar G. Zimmerman,Andy Gilmour,Bill Crow,Willie Dixon,Tony Scherr,Ray Drummond,Hal Robinson,Niels-Henning Ørsted Pedersen,Didier Levallet,Leon "Pee Wee" Whittaker,Brian Tyler,Henry Franklin,Chris Laurence,Colin Edwin,Israel Crosby,Jim King,Joe Comfort,Eddie Jones,Johnny Frigo,Bill Black,James Cammack,Leonard Gaskin,Jaco Pastorius,Trevor Dunn,Bob Cranshaw,Larry Ridley,Greg Cohen,John Keigwin,Jimmy Woode,Coleridge Goode,Mark Dresser,Michael Manring,Phil Upchurch,Willie Ruff,Hayes Alvis,Allan von Schenkel,Colin Greenwood,Makanda Ken McIntyre,Lee Rocker,Ed Lincoln,Jimmy Blanton,Kim Nekroman,Frank Proto,James Morrison,Giovanni Bottesini,Wilbur Little,Jurek Dybal,François Rabbath,John Clayton,Jim Tavare,Stanley Clarke,Curley Russell,Edouard Nanny,Wilber Morris,Carl Frederick Tandberg,Nicolas Thys,Joel Day,Matt Freeman,Art Davis,Eddie Gomez,Rufus Reid,Miroslav Vitouš,Adrian Stout,Chris Wood,John Giblin,Bill Johnson,Brian Bromberg,Patricia Day,Dave Holland,Wanda Ortiz,Jorma Katrama,Gary Peacock,Nat Towles,Scott Owen,Page McConnell,Alex Blake,Steve Rodby,Roy Mitchell-Cárdenas,Edwin Barker,Terry Plumeri,Lloyd Brevett,Virtue Hampton Whitted,Jon Thorne,Derrick Hodge,George Duvivier,David Williams,Red Callender,Chucho Merchan,Milt Hinton,Abraham LaBoriel,Reid Anderson,Gordon Johnson,Wellman Braud,George Mraz,Jamil Nasser,Ike Sturm,Jim Richardson,Kenneth Hughes,Eugene Levinson,Eddie Safranski,John Jorgenson,Joe Buck,Henry Grimes,Terry Burrus,Brian Q. Torff,Buell Neidlinger,Marshall Lytle,Michel Benita,Steve Beresford,Harvey Brooks,George Koller,Emile Christian,Mark Egan,Robert Dickson,Benoit Dunoyer De Segonzac,Curtis Counce,Renaud Garcia-Fons,John Deacon,William Butler,John Addison,Reggie Workman,Leonardo Valvassori,Grachan Moncur II,Johnny Dyani,Charlie Biddle,Carl Smith,Vivien Garry,Low Stars,Harry Miller,Peter Herbert,Barry Green,David Lindley,Tom Gray,Charnett Moffett,Glen Moore,Butch Warren,Nelson Cascais,Victor Sproles,Matt Garrison,Dennis Irwin,Osama Afifi,Joe Mondragon,Robert Popwell,Cecil McBee,Vinnie Burke,Rob Wasserman,Dave Carpenter,Malachi Favors,Rick Laird,Jymie Merritt,Eugene Wright,Ben Street,Missy Raines,Bo Stief,Wilbur Ware,Alec Dankworth,David Friesen,Mo Foster,Larry Klein,Percy Heath,Esperanza Spalding,Chuck Deardorf,Jack Bruce,Roy Babbington,Hank Van Sickle,Homer Mensch,Peter Askim,Victor Bailey,Louis Nelson Deslile,Franco Petracchi,Graham Collier,Donald Palma,Sting,Dan Schmid,David Izenzon,Anthony Jackson,Oscar D'León,Baron Browne,Todd Philips,Neal Starkey,Kyle Sokol,Jeff Clyne,Nathaniel Ayers,Ron Chesterman,Barre Phillips,Biréli Lagrène,Artie Bernstein,Bob Daisley,Jayen Varma,Lars Danielsson,Joe Shulman,Jimmy Garrison,Pete Briggs,Doc Goldberg,John Kirby,Leroy Vinnegar,Serge Koussevitzky,Eerik Siikasaari,Ron Carter,Chubby Jackson,Eldee Young,Johnterryl Plumeri,Kyle Eastwood,Charles Mingus,Lindsay L. Cooper,Ray Campi,Teddy Kotick,Louise Mandrell,Johann Joseph Abert,Jim Creeggan,Glenn Worf,Tom Abbs,Sage Reynolds,Itzam Cano,Julio Cesar Badillo,Herbie Flowers,David "Buck" Wheat,Bill Lee,Fred LaBour,Onno Tunç,Danny Thompson,Torsten Mueller,Rafi Kirder,Tommy Potter,Chuck Israels,Julian Euell,Patrick Thomas,Anthony Cox,Louis Vola,Curtis Lundy,Ron McClure,Spike Hughes,Mige Amour,Brian Lawrence,Christian McBride,Micah Smaldone,Barry Buckley,Max Dimoff,Alain Caron,Nathan East,Marshall Grant,Arnold Fishkin,Jean-Pierre Robert,Bunny Brunel,Bob Moore,Victor Wooten,Franz Simandl,John Patitucci,Gavin Bryars,Walter Booker,Palle Danielsson,Howard Rumsey,Art Phipps,Barry Guy,Gary Karr,Herbert "Lum" York,Joel Quarrington,Lynn Seaton,Tim Landers,Tony Levin,Stuart Zender,Karl E. H. Seigfried,Clarence Seay,Marc Johnson,Richard Bona,Phil Bates,Moses Allen,Antonio Scontrino,That 1 Guy,Tom Kennedy,Sirone,Edicson Ruiz,Fred Hopkins,Len Skeat,James Singleton,Charles Fambrough,Robert Sledge,Richard Parry,Larry Wolfe,Chuck Domanico,Al McKibbon,Peter Kowald,Vernon Alley,Paul Chambers,Gene Ramey,Tim Cobb,Cachao López,Jair-Rohm Parker Wells,Jeff Berlin,Oteil Burbridge,Kikki, Bettan & Lotta,Gary Raynor,Red Mitchell,Walter Payton,Emily Erwin,William Parker,David Finck,Aristazabal Hawkes,Paul Ellison,Lyfe Jennings,James Last,Tatsu Aoki,Edgar Meyer,Henry Ford,Jay Leonhart,Michael Peter Balzary,Scotty Holt,Henry Lewis,Matt Kendrick,Jeff Irwin,Cameron Brown,Les Claypool,Gary Crosby,Massimo Biolcati,Walter Page,Drifting Cowboys,Buster Williams,Little Charlie & the Nightcats,Andy Lewis,Frantisek Kotzwara,Thelma Terry,Adrian Belew,Jonas Hellborg,Peck Morrison,Simon Brehm,Marcus Miller,Kaizers Orchestra,Larry Grenadier,Jodi Proznick,Eberhard Weber,Diana Gannett,Penn Jillette,Nick Haywood,Mark Helias,Monk Montgomery,Kent Kessler,James Jamerson,Brian Day,Gary Willis,Simon Little,Jack Lesberg,Tillman Franks,Ric Fierabracci,Dave Farrell,Ingebrigt Håker Flaten,Albert Laszlo,Jennifer Jane Leitham,Steve Brown,Wayne Dockery,Alan Silva,Athol Guy,Paul Jackson,Bob Haggart,Paul McCartney,Richard Davis,Ringo Starr,Jorge Pescara,Enzo Pietropaoli,Mike Elizondo,Alex James,Rick Danko,Dennis Berry,Lonnie Plaxico,Kristoffer Gildenlöw,John Kahn,Wendell Marshall,Samuel Jones,Benjamin Levy,Jon Sholle,Roy Huskey, Jr.,Walt Yoder,Ben Allison,Bill Wyman,Scott Colley,Stuart Hamm,Mark Izu,Jamaaladeen Tacuma,A. R. Rahman,Sebastian Steinberg,Georg Riedel,Jesse Boyd,Jesse Brand,Bertram Turetzky,Rodney Whittaker,The Aces,Arild Andersen,Spanky DeBrest,Tony Garnier,Steve Swallow,Don Bagley,Ernie Farrow,Shannon Birchall,Pierre Michelot,Alfred Weisberg-Roberts,Philippe Aerts,Kermit Driscoll,Joëlle Léandre,Aladár Pege,Geoff Kresge,Eric Revis,Ronnie Boykins,Fred Thelonious Baker,Martie Maguire,Mauricio Biazzi,Dave Pomeroy,Robert Hunter,Rainer Zepperitz,James Anton,Andy Kirk,Hein Van de Geyn,Kristin Korb,Marcin Oles,Simon Tan,Steve Davis,Herbie Lewis,Charlie Haden,Stuart Sankey,Chris Frangou,Pops Foster,Rodney Slatford,Doug Watkins,Henri Texier,Orin O'Brien,Teppo Hauta-Aho,Millard Powers,P-Nut,Ray Brown,Eric Judy,Jauqo III-X,Orlando "Cachaito" López,Squarepusher,Johnny Răducanu,Cleveland Eaton,Avishai Cohen,Ignacio Varchausky,Oscar Pettiford
Sohaegeum	/m/03d08kq			
Hegelung	/m/03cklrr			
Sentir	/m/075rkqk			
Tabor	/m/07fcvd	Snare drum		
MicroKORG	/m/06nw3w			
Contrabass saxophone	/m/06mh_d	Saxophone		
Hurdy gurdy	/m/0l14lz	Other string instruments		
Whistle	/m/0l156k	Tuned Percussion		David Coffin
Tangent piano	/m/052w_6			
Bamboo flute	/m/02rm6_	Flute (transverse)		Yusef Lateef
Ghatam	/m/02ty36			
Kamancheh	/m/02vm4p			Ardeshir Kamkar,Mohammad-Reza Lotfi,Kayhan Kalhor
Teponaztli	/m/02qszvz			
Vihuela	/m/029470	Plucked string instrument	Mexican vihuela	Miguel de Fuenllana,Diego Pisador,Alonso Mudarra,Luis de Narváez,Enrique De Valderrábano,Luis de Milán,Esteban Daza
Hyperbow	/m/02vs5zx			
UPIC	/m/02q2c17			
Cantaro	/m/052zzwt			
